Value Research,,,
Generate on: 23-Jul-2020 06:27,,,
,,,
All Equity Funds,,,
,,,
Fund Name,Category,Expense Ratio (%),1 Yr Ret (%)
DSP Healthcare Fund - Regular Plan,EQ-Pharma,2.56,45.70
DSP Midcap Fund - Direct Plan,EQ-MC,1.00,9.48
DSP Midcap Fund - Regular Plan,EQ-MC,1.93,8.51
DSP Natural Resources and New Energy Fund - Direct Plan,EQ-Energy,1.53,-7.52
DSP Natural Resources and New Energy Fund - Regular Plan,EQ-Energy,2.54,-8.36
DSP Nifty 50 Index Fund - Direct Plan,EQ-LC,0.21,-1.56
DSP Nifty 50 Index Fund - Regular Plan,EQ-LC,0.39,-1.77
DSP Nifty Next 50 Index Fund - Direct Plan,EQ-LC,0.29,-0.95
DSP Nifty Next 50 Index Fund - Regular Plan,EQ-LC,0.58,-1.25
DSP Quant Fund - Direct Plan,EQ-THEMATIC,0.56,14.34
DSP Quant Fund - Regular Plan,EQ-THEMATIC,1.30,13.46
DSP Small Cap Fund - Direct Plan,EQ-SC,1.11,1.42
DSP Small Cap Fund - Regular Plan,EQ-SC,2.03,0.52
DSP Tax Saver Fund,EQ-ELSS,1.90,1.18
DSP Tax Saver Fund - Direct Plan,EQ-ELSS,0.95,2.16
DSP T.I.G.E.R. Fund - Direct Plan,EQ-INFRA,1.91,-16.50
DSP T.I.G.E.R. Fund - Regular Plan,EQ-INFRA,2.50,-17.04
DSP Top 100 Equity Fund - Direct Plan,EQ-LC,1.43,-2.10
DSP Top 100 Equity Fund - Regular Plan,EQ-LC,2.17,-2.84
DSP US Flexible Equity Fund,EQ-INTL,2.47,19.40
DSP US Flexible Equity Fund - Direct Plan,EQ-INTL,1.68,20.09
DSP World Agriculture Fund,EQ-INTL,2.44,11.50
DSP World Agriculture Fund - Direct Plan,EQ-INTL,2.31,11.73
DSP World Energy Fund - Direct Plan,EQ-INTL,1.80,-4.38
DSP World Energy Fund - Regular Plan,EQ-INTL,2.35,-4.73
DSP World Gold Fund - Direct Plan,EQ-INTL,1.87,56.56
DSP World Gold Fund - Regular Plan,EQ-INTL,2.40,55.85
DSP World Mining Fund - Direct Plan,EQ-INTL,1.93,17.08
DSP World Mining Fund - Regular Plan,EQ-INTL,2.38,16.59
Edelweiss ASEAN Equity Off-shore Fund - Direct Plan,EQ-INTL,1.67,-8.46
Edelweiss ASEAN Equity Off-shore Fund - Regular Plan,EQ-INTL,2.37,-9.08
Edelweiss Emerging Markets Opportunities Equity Offshore Fund - Direct Plan,EQ-INTL,1.23,14.62
Edelweiss Emerging Markets Opportunities Equity Offshore Fund - Regular Plan,EQ-INTL,2.29,13.49
Edelweiss ETF - Nifty 100 Quality 30,EQ-LC,0.28,3.58
Edelweiss Europe Dynamic Equity Offshore Fund - Direct Plan,EQ-INTL,1.60,10.28
Edelweiss Europe Dynamic Equity Offshore Fund - Regular Plan,EQ-INTL,2.34,9.51
Edelweiss Exchange Traded Fund-Nifty 50,EQ-LC,0.07,-1.27
Edelweiss Exchange Traded Fund-Nifty Bank,EQ-BANK,0.12,-22.51
