Value Research,,,,,
Generate on: 23-Jul-2020 06:29,,,,,
,,,,,
All Equity Funds,,,,,
,,,,,
Fund Name,3 Yr Ret (%),5 Yr Ret (%),10 Yr Ret (%),15 Yr Ret (%),20 Yr Ret (%)
BOI AXA Multi Cap Fund - Direct Plan,NA,NA,NA,NA,NA
BOI AXA Multi Cap Fund - Regular Plan,NA,NA,NA,NA,NA
BOI AXA Small Cap Fund - Direct Plan,NA,NA,NA,NA,NA
BOI AXA Small Cap Fund - Regular Plan,NA,NA,NA,NA,NA
BOI AXA Tax Advantage Fund - Direct Plan,6.16,8.38,NA,NA,NA
BOI AXA Tax Advantage Fund - Eco Plan,5.69,7.76,9.82,NA,NA
BOI AXA Tax Advantage Fund - Regular Plan,4.89,6.96,9.16,NA,NA
Canara Robeco Bluechip Equity Fund - Direct Plan,8.95,9.08,NA,NA,NA
Canara Robeco Bluechip Equity Fund - Regular Plan,7.60,7.79,NA,NA,NA
Canara Robeco Consumer Trends Fund - Direct Plan,7.32,9.73,NA,NA,NA
Canara Robeco Consumer Trends Fund - Regular Plan,5.95,8.47,12.14,NA,NA
Canara Robeco Emerging Equities Fund - Direct Plan,3.83,9.83,NA,NA,NA
Canara Robeco Emerging Equities Fund - Regular Plan,2.59,8.54,15.34,15.57,NA
Canara Robeco Equity Diversified Fund - Direct Plan,7.47,7.59,NA,NA,NA
Canara Robeco Equity Diversified Fund - Regular Plan,6.50,6.73,9.91,13.85,NA
Canara Robeco Equity Tax Saver Fund - Direct Plan,7.72,7.88,NA,NA,NA
Canara Robeco Equity Tax Saver Fund - Regular Plan,6.76,7.04,10.28,15.61,12.81
Canara Robeco Infrastructure Fund - Direct Plan,-4.38,1.24,NA,NA,NA
Canara Robeco Infrastructure Fund - Regular Plan,-5.28,0.34,5.94,NA,NA
Canara Robeco Small Cap Fund - Direct Plan,NA,NA,NA,NA,NA
Canara Robeco Small Cap Fund - Regular Plan,NA,NA,NA,NA,NA
CPSE Exchange Traded Fund,-12.89,-6.61,NA,NA,NA
DSP 3 Years Close Ended Equity Fund - Direct Plan,3.25,9.19,NA,NA,NA
DSP 3 Years Close Ended Equity Fund - Regular Plan,2.61,8.63,NA,NA,NA
DSP A.C.E.Fund (Analyst's Conviction Equalized) Series 1 - Direct Plan,NA,NA,NA,NA,NA
DSP A.C.E.Fund (Analyst's Conviction Equalized) Series 1 - Regular Plan,NA,NA,NA,NA,NA
DSP A.C.E.Fund (Analyst'S Conviction Equalized) Series 2 - Direct Plan,NA,NA,NA,NA,NA
DSP A.C.E.Fund (Analyst'S Conviction Equalized) Series 2 - Regular Plan,NA,NA,NA,NA,NA
DSP Equal Nifty 50 Fund - Direct Plan,NA,NA,NA,NA,NA
DSP Equal Nifty 50 Fund - Regular Plan,NA,NA,NA,NA,NA
DSP Equity Fund,4.22,6.84,9.57,15.23,16.58
DSP Equity Fund - Direct Plan,5.10,7.67,NA,NA,NA
DSP Equity Opportunities Fund,1.99,6.97,9.88,14.08,17.01
DSP Equity Opportunities Fund - Direct Plan,3.02,8.02,NA,NA,NA
DSP Focus Fund,1.83,4.45,8.07,NA,NA
DSP Focus Fund - Direct Plan,2.79,5.34,NA,NA,NA
DSP Global Allocation Fund - Direct Plan,10.18,7.23,NA,NA,NA
DSP Global Allocation Fund - Regular Plan,9.68,6.82,NA,NA,NA
DSP Healthcare Fund - Direct Plan,NA,NA,NA,NA,NA
DSP Healthcare Fund - Regular Plan,NA,NA,NA,NA,NA
DSP Midcap Fund - Direct Plan,3.27,8.91,NA,NA,NA
DSP Midcap Fund - Regular Plan,2.36,8.00,12.47,NA,NA
DSP Natural Resources and New Energy Fund - Direct Plan,-3.06,8.76,NA,NA,NA
DSP Natural Resources and New Energy Fund - Regular Plan,-3.86,7.93,7.27,NA,NA
DSP Nifty 50 Index Fund - Direct Plan,NA,NA,NA,NA,NA
DSP Nifty 50 Index Fund - Regular Plan,NA,NA,NA,NA,NA
DSP Nifty Next 50 Index Fund - Direct Plan,NA,NA,NA,NA,NA
DSP Nifty Next 50 Index Fund - Regular Plan,NA,NA,NA,NA,NA
DSP Quant Fund - Direct Plan,NA,NA,NA,NA,NA
DSP Quant Fund - Regular Plan,NA,NA,NA,NA,NA
DSP Small Cap Fund - Direct Plan,-5.50,4.69,NA,NA,NA
DSP Small Cap Fund - Regular Plan,-6.12,4.00,11.97,NA,NA
DSP Tax Saver Fund,2.90,7.21,10.70,NA,NA
DSP Tax Saver Fund - Direct Plan,3.95,8.24,NA,NA,NA
DSP T.I.G.E.R. Fund - Direct Plan,-5.41,0.91,NA,NA,NA
DSP T.I.G.E.R. Fund - Regular Plan,-5.98,0.32,4.42,10.79,NA
DSP Top 100 Equity Fund - Direct Plan,1.21,4.25,NA,NA,NA
DSP Top 100 Equity Fund - Regular Plan,0.50,3.52,7.43,13.31,NA
DSP US Flexible Equity Fund,14.55,11.74,NA,NA,NA
DSP US Flexible Equity Fund - Direct Plan,15.33,12.51,NA,NA,NA
DSP World Agriculture Fund,6.89,3.55,NA,NA,NA
DSP World Agriculture Fund - Direct Plan,7.21,3.87,NA,NA,NA
DSP World Energy Fund - Direct Plan,1.12,-0.24,NA,NA,NA
DSP World Energy Fund - Regular Plan,0.76,-0.53,2.46,NA,NA
DSP World Gold Fund - Direct Plan,22.46,22.14,NA,NA,NA
DSP World Gold Fund - Regular Plan,21.86,21.55,3.32,NA,NA
DSP World Mining Fund - Direct Plan,14.37,12.02,NA,NA,NA
DSP World Mining Fund - Regular Plan,13.75,11.39,0.79,NA,NA
Edelweiss ASEAN Equity Off-shore Fund - Direct Plan,3.91,5.35,NA,NA,NA
Edelweiss ASEAN Equity Off-shore Fund - Regular Plan,3.06,4.33,NA,NA,NA
Edelweiss Emerging Markets Opportunities Equity Offshore Fund - Direct Plan,10.39,9.23,NA,NA,NA
Edelweiss Emerging Markets Opportunities Equity Offshore Fund - Regular Plan,9.48,8.54,NA,NA,NA
Edelweiss ETF - Nifty 100 Quality 30,4.82,NA,NA,NA,NA
Edelweiss Europe Dynamic Equity Offshore Fund - Direct Plan,4.47,3.43,NA,NA,NA
Edelweiss Europe Dynamic Equity Offshore Fund - Regular Plan,3.65,2.50,NA,NA,NA
Edelweiss Exchange Traded Fund-Nifty 50,5.07,6.72,NA,NA,NA
Edelweiss Exchange Traded Fund-Nifty Bank,-1.99,NA,NA,NA,NA
Edelweiss Greater China Equity Off-shore Fund - Direct Plan,23.16,16.45,NA,NA,NA
Edelweiss Greater China Equity Off-shore Fund - Regular Plan,22.12,15.39,14.96,NA,NA
Edelweiss Large Cap Fund - Direct Plan,5.81,6.51,NA,NA,NA
Edelweiss Large Cap Fund - Plan B,4.61,5.45,9.90,NA,NA
Edelweiss Large Cap Fund - Plan C,4.60,5.45,9.72,NA,NA
Edelweiss Large Cap Fund - Regular Plan,4.59,5.44,9.87,NA,NA
Edelweiss Large & Mid Cap Fund - Direct Plan,4.83,6.61,NA,NA,NA
Edelweiss Large & Mid Cap Fund Regular Plan,3.45,5.44,9.14,NA,NA
Edelweiss Long Term Equity Fund (Tax Savings) - Direct Plan,1.62,4.40,NA,NA,NA
Edelweiss Long Term Equity Fund (Tax Savings) - Regular Plan,0.04,3.10,8.65,NA,NA
Edelweiss Maiden Opportunities Fund Series 1 - Direct Plan,NA,NA,NA,NA,NA
Edelweiss Maiden Opportunities Fund Series 1 - Regular Plan,NA,NA,NA,NA,NA
Edelweiss Mid Cap Fund - Direct Plan,1.53,5.94,NA,NA,NA
Edelweiss Mid Cap Fund - Regular Plan,0.13,4.86,12.70,NA,NA
Edelweiss Multi Cap Fund - Direct Plan,4.15,6.87,NA,NA,NA
Edelweiss Multi Cap Fund - Regular Plan,2.65,5.66,NA,NA,NA
Edelweiss Small Cap Fund - Direct Plan,NA,NA,NA,NA,NA
Edelweiss Small Cap Fund - Regular Plan,NA,NA,NA,NA,NA
Edelweiss US Technology Equity Fund of Fund - Direct Plan,NA,NA,NA,NA,NA
Edelweiss US Technology Equity Fund of Fund - Regular Plan,NA,NA,NA,NA,NA
Edelweiss US Value Equity Off-shore Fund - Direct Plan,8.26,6.99,NA,NA,NA
Edelweiss US Value Equity Off-shore Fund - Regular Plan,7.39,6.20,NA,NA,NA
Essel Large Cap Equity Fund,0.61,5.34,NA,NA,NA
Essel Large Cap Equity Fund - Direct Plan,2.08,6.83,NA,NA,NA
Essel Large & Midcap Fund,-1.08,NA,NA,NA,NA
Essel Large & Midcap Fund - Direct Plan,0.62,NA,NA,NA,NA
Essel Long Term Advantage Fund,-0.38,NA,NA,NA,NA
Essel Long Term Advantage Fund - Direct Plan,1.26,NA,NA,NA,NA
Essel Multi Cap Fund - Direct Plan,NA,NA,NA,NA,NA
Essel Multi Cap Fund - Regular Plan,NA,NA,NA,NA,NA
Franklin Asian Equity Fund,8.12,9.88,9.70,NA,NA
Franklin Asian Equity Fund - Direct Plan,8.77,10.62,NA,NA,NA
Franklin Build India Fund,-3.83,2.67,10.81,NA,NA
Franklin Build India Fund - Direct Plan,-2.66,3.99,NA,NA,NA
Franklin India Bluechip Fund,-1.15,2.82,7.74,12.70,15.65
Franklin India Bluechip Fund - Direct Plan,-0.34,3.69,NA,NA,NA
Franklin India Equity Advantage Fund,-3.45,1.05,8.16,12.72,NA
Franklin India Equity Advantage Fund - Direct Plan,-2.67,1.86,NA,NA,NA
Franklin India Equity Fund,-1.34,3.08,9.92,14.13,17.08
Franklin India Equity Fund - Direct Plan,-0.43,4.11,NA,NA,NA
Franklin India Feeder - Franklin European Growth Fund,-6.31,-3.01,NA,NA,NA
Franklin India Feeder - Franklin European Growth Fund Direct Plan,-5.33,-1.82,NA,NA,NA
