Value Research,,,,,
Generate on: 23-Jul-2020 06:29,,,,,
,,,,,
All Equity Funds,,,,,
,,,,,
Fund Name,3 Yr Ret (%),5 Yr Ret (%),10 Yr Ret (%),15 Yr Ret (%),20 Yr Ret (%)
Nippon India ETF Nifty 100,3.24,5.46,NA,NA,NA
Nippon India ETF Nifty BeES,5.10,6.30,8.54,12.30,NA
Nippon India ETF Nifty IT - Regular Plan,NA,NA,NA,NA,NA
Nippon India ETF Nifty Midcap 150 - Regular Plan,NA,NA,NA,NA,NA
Nippon India ETF NV20,9.41,8.19,NA,NA,NA
Nippon India ETF PSU Bank BeES,-25.90,-15.45,-8.58,NA,NA
Nippon India ETF Sensex,6.89,7.10,NA,NA,NA
Nippon India ETF Sensex Next 50 - Regular Plan,NA,NA,NA,NA,NA
Nippon India ETF Shariah BeES,5.21,6.90,8.30,NA,NA
Nippon India Focused Equity Fund,-1.79,4.51,10.51,NA,NA
Nippon India Focused Equity Fund - Direct Plan,-0.99,5.41,NA,NA,NA
Nippon India Growth Fund,-0.20,4.53,8.40,13.89,20.13
Nippon India Growth Fund - Direct Plan,0.48,5.27,NA,NA,NA
Nippon India Growth Fund - Institutional Plan,0.42,5.00,8.70,NA,NA
Nippon India Index Fund - Nifty Plan,3.93,5.16,NA,NA,NA
Nippon India Index Fund - Nifty Plan - Direct Plan,4.73,5.90,NA,NA,NA
Nippon India Index Fund - Sensex Plan,5.97,5.98,NA,NA,NA
Nippon India Index Fund - Sensex Plan - Direct Plan,6.67,6.62,NA,NA,NA
Nippon India India Opportunities Fund - Series A - Direct Plan,NA,NA,NA,NA,NA
Nippon India India Opportunities Fund - Series A - Regular Plan,NA,NA,NA,NA,NA
Nippon India Japan Equity Fund,7.57,4.35,NA,NA,NA
Nippon India Japan Equity Fund - Direct Plan,8.56,5.22,NA,NA,NA
Nippon India Junior BeES FoF - Direct Plan,NA,NA,NA,NA,NA
Nippon India Junior BeES FoF - Regular Plan,NA,NA,NA,NA,NA
Nippon India Large Cap Fund,-0.69,3.46,9.02,NA,NA
Nippon India Large Cap Fund - Direct Plan,0.28,4.50,NA,NA,NA
Nippon India Multi Cap Fund,-3.79,-0.01,8.25,13.47,NA
Nippon India Multi Cap Fund - Direct Plan,-3.09,0.74,NA,NA,NA
Nippon India Pharma Fund,13.15,6.94,13.86,18.73,NA
Nippon India Pharma Fund - Direct Plan,14.14,7.89,NA,NA,NA
Nippon India Power & Infra Fund,-6.02,1.97,0.34,10.98,NA
Nippon India Power & Infra Fund - Direct Plan,-5.45,2.61,NA,NA,NA
Nippon India Quant Fund - Direct Plan,2.41,4.80,NA,NA,NA
Nippon India Quant Fund - Retail Plan,1.65,4.38,7.23,NA,NA
Nippon India Retirement Fund - Wealth Creation Scheme,-4.48,0.95,NA,NA,NA
Nippon India Retirement Fund - Wealth Creation Scheme - Direct Plan,-3.56,2.22,NA,NA,NA
Nippon India Small Cap Fund,-2.83,7.05,NA,NA,NA
Nippon India Small Cap Fund - Direct Plan,-1.79,8.20,NA,NA,NA
Nippon India Tax Saver (ELSS) Fund,-9.66,-1.46,7.91,NA,NA
Nippon India Tax Saver (ELSS) Fund - Direct Plan,-8.91,-0.66,NA,NA,NA
Nippon India US Equity Opportunities Fund,18.31,NA,NA,NA,NA
Nippon India US Equity Opportunities Fund - Direct Plan,19.56,NA,NA,NA,NA
Nippon India Value Fund,0.71,4.04,8.38,13.64,NA
Nippon India Value Fund - Direct Plan,1.42,4.82,NA,NA,NA
Nippon India Vision Fund,-4.20,0.82,5.80,10.98,17.10
Nippon India Vision Fund - Direct Plan,-3.63,1.46,NA,NA,NA
Parag Parikh Long Term Equity Fund - Direct Plan,11.51,11.46,NA,NA,NA
Parag Parikh Long Term Equity Fund - Regular Plan,10.72,10.73,NA,NA,NA
Parag Parikh Tax Saver Fund - Direct Plan,NA,NA,NA,NA,NA
Parag Parikh Tax Saver Fund - Regular Plan,NA,NA,NA,NA,NA
PGIM India Diversified Equity Fund - Direct Plan,6.25,8.08,NA,NA,NA
PGIM India Diversified Equity Fund - Regular Plan,4.22,6.50,NA,NA,NA
PGIM India Euro Equity Fund,6.17,3.27,7.21,NA,NA
PGIM India Euro Equity Fund - Direct Plan,7.63,4.46,NA,NA,NA
PGIM India Global Equity Opportunities Fund,26.28,11.91,11.07,NA,NA
PGIM India Global Equity Opportunities Fund - Direct Plan,27.84,13.09,NA,NA,NA
PGIM India Large Cap Fund,1.20,4.17,7.64,12.36,NA
PGIM India Large Cap Fund - Direct Plan,2.66,5.71,NA,NA,NA
PGIM India Long Term Equity Fund - Direct Plan,3.03,NA,NA,NA,NA
PGIM India Long Term Equity Fund - Regular Plan,1.26,NA,NA,NA,NA
PGIM India Midcap Opportunities Fund - Direct Plan,2.92,5.20,NA,NA,NA
PGIM India Midcap Opportunities Fund - Regular Plan,1.24,3.86,NA,NA,NA
Principal Dividend Yield Fund,3.86,7.56,8.80,9.87,NA
Principal Dividend Yield Fund - Direct Plan,4.47,8.10,NA,NA,NA
Principal Emerging Bluechip Fund,1.22,7.40,12.49,NA,NA
Principal Emerging Bluechip Fund - Direct Plan,2.39,8.57,NA,NA,NA
Principal Focused Multicap Fund,4.38,6.61,9.08,NA,NA
Principal Focused Multicap Fund - Direct Plan,5.16,7.38,NA,NA,NA
Principal Global Opportunities Fund,6.03,7.10,7.04,7.36,NA
Principal Global Opportunities Fund - Direct Plan,6.45,7.55,NA,NA,NA
Principal Midcap Fund - Direct Plan,NA,NA,NA,NA,NA
Principal Midcap Fund - Regular Plan,NA,NA,NA,NA,NA
Principal Multi Cap Growth Fund,-0.24,5.94,9.55,10.24,NA
Principal Multi Cap Growth Fund - Direct Plan,0.68,6.82,NA,NA,NA
Principal Nifty 100 Equal Weight Fund,-1.49,2.00,5.84,9.53,9.49
Principal Nifty 100 Equal Weight Fund - Direct Plan,-1.17,2.40,NA,NA,NA
Principal Personal Tax Saver Fund,-1.60,2.68,6.48,10.16,12.34
Principal Personal Tax Saver Fund - Direct Plan,-1.18,3.21,NA,NA,NA
Principal Small Cap Fund - Direct Plan,NA,NA,NA,NA,NA
Principal Small Cap Fund - Regular Plan,NA,NA,NA,NA,NA
Principal Tax Savings Fund,-0.22,5.91,9.74,11.58,14.21
Principal Tax Savings Fund - Direct Plan,0.37,6.47,NA,NA,NA
Quant Active Fund,6.71,8.54,9.44,12.13,NA
Quant Active Fund - Direct Plan,7.06,8.75,NA,NA,NA
Quant Consumption Fund,-0.16,6.98,3.67,NA,NA
Quant Consumption Fund - Direct Plan,0.81,7.93,NA,NA,NA
Quant Focused Fund,2.00,6.01,10.35,NA,NA
Quant Focused Fund - Direct Plan,2.87,6.55,NA,NA,NA
Quant Infrastructure Fund,-2.04,0.71,-1.93,NA,NA
Quant Infrastructure Fund - Direct Plan,-0.95,1.38,NA,NA,NA
Quant Large and Mid Cap Fund,2.86,8.55,11.18,NA,NA
Quant Large and Mid Cap Fund - Direct Plan,3.17,8.73,NA,NA,NA
Quant Mid Cap Fund,3.51,4.07,7.52,7.22,NA
Quant Mid Cap Fund - Direct Plan,4.43,4.62,NA,NA,NA
Quant Small Cap Fund,-3.27,1.28,7.80,8.90,6.40
Quant Small Cap Fund - Direct Plan,-2.93,1.49,NA,NA,NA
Quant Tax Plan,3.63,10.54,6.67,9.37,11.88
Quant Tax Plan - Direct Plan,4.60,11.20,NA,NA,NA
Quantum Equity FoF Fund - Direct Plan,1.22,5.69,9.54,NA,NA
Quantum Equity FoF - Regular Plan,1.05,5.54,9.41,NA,NA
Quantum India ESG Equity Fund - Direct Plan,NA,NA,NA,NA,NA
Quantum India ESG Equity Fund - Regular Plan,NA,NA,NA,NA,NA
Quantum Long Term Equity Value Fund - Direct Plan,-2.41,3.48,8.44,NA,NA
Quantum Long Term Equity Value Fund - Regular Plan,-2.73,3.18,8.15,NA,NA
Quantum Nifty ETF,4.92,6.25,8.46,NA,NA
Quantum Tax Saving Fund - Direct Plan,-2.19,3.67,8.42,NA,NA
Quantum Tax Saving - Regular Plan,-2.51,3.36,8.12,NA,NA
SBI Banking & Financial Services Fund - Direct Plan,4.67,11.26,NA,NA,NA
SBI Banking & Financial Services Fund - Regular Plan,3.45,10.12,NA,NA,NA
SBI Bluechip Fund,1.54,5.16,9.94,NA,NA
SBI Bluechip Fund - Direct Plan,2.47,6.24,NA,NA,NA
SBI Consumption Opportunities Fund,-0.57,5.31,13.39,14.79,14.49
SBI Consumption Opportunities Fund - Direct Plan,0.56,6.41,NA,NA,NA
SBI Contra Fund,-3.89,1.65,5.31,11.33,18.37
SBI Contra Fund - Direct Plan,-3.27,2.29,NA,NA,NA
SBI Equity Minimum Variance Fund - Direct Plan,NA,NA,NA,NA,NA
SBI Equity Minimum Variance Fund - Regular Plan,NA,NA,NA,NA,NA
SBI Equity Opportunities Fund - Series I - Direct Plan,1.19,4.54,NA,NA,NA
SBI Equity Opportunities Fund - Series I - Regular Plan,0.27,3.93,NA,NA,NA
SBI Equity Opportunities Fund - Series IV - Direct Plan,2.01,NA,NA,NA,NA
SBI Equity Opportunities Fund - Series IV - Regular Plan,1.11,NA,NA,NA,NA
SBI ETF BSE 100 Fund,3.97,6.22,NA,NA,NA
SBI ETF Nifty 50,5.06,NA,NA,NA,NA
SBI ETF Nifty Bank Fund,-2.24,3.83,NA,NA,NA
SBI ETF Nifty Next 50 Fund,-0.59,6.14,NA,NA,NA
SBI ETF Quality - Regular Plan,NA,NA,NA,NA,NA
SBI ETF Sensex,6.90,7.10,NA,NA,NA
SBI ETF Sensex Next 50 - Regular Plan,NA,NA,NA,NA,NA
SBI Focused Equity Fund,6.51,9.17,13.91,14.21,NA
SBI Focused Equity Fund - Direct Plan,7.59,10.21,NA,NA,NA
SBI Healthcare Opportunities Fund,4.67,0.70,13.64,12.53,16.14
SBI Healthcare Opportunities Fund - Direct Plan,5.85,1.88,NA,NA,NA
SBI Infrastructure Fund,-0.63,3.58,3.13,NA,NA
SBI Infrastructure Fund - Direct Plan,0.10,4.26,NA,NA,NA
SBI Large & Midcap Fund,1.30,4.65,9.43,14.40,13.40
SBI Large & Midcap Fund - Direct Plan,2.04,5.32,NA,NA,NA
SBI Long Term Advantage Fund Series I - Direct Plan,-1.59,4.44,NA,NA,NA
SBI Long Term Advantage Fund Series II - Direct Plan,-0.08,6.42,NA,NA,NA
SBI Long Term Advantage Fund Series III - Direct Plan,-0.50,NA,NA,NA,NA
SBI Long Term Advantage Fund Series III - Regular Plan,-1.29,NA,NA,NA,NA
SBI Long Term Advantage Fund Series II - Regular Plan,-0.64,6.00,NA,NA,NA
SBI Long Term Advantage Fund Series I - Regular Plan,-2.17,4.02,NA,NA,NA
SBI Long Term Advantage Fund Series IV - Direct Plan,6.22,NA,NA,NA,NA
SBI Long Term Advantage Fund Series IV - Regular Plan,5.40,NA,NA,NA,NA
SBI Long Term Advantage Fund Series V - Direct Plan,NA,NA,NA,NA,NA
SBI Long Term Advantage Fund Series VI - Direct Plan,NA,NA,NA,NA,NA
SBI Long Term Advantage Fund Series VI - Regular Plan,NA,NA,NA,NA,NA
SBI Long Term Advantage Fund Series V - Regular Plan,NA,NA,NA,NA,NA
SBI Long Term Equity Fund,-0.45,2.81,8.35,12.30,14.12
SBI Long Term Equity Fund - Direct Plan,0.22,3.47,NA,NA,NA
SBI Magnum COMMA Fund,0.99,7.60,4.43,NA,NA
SBI Magnum COMMA Fund - Direct Plan,1.77,8.35,NA,NA,NA
SBI Magnum Equity ESG Fund,4.05,5.91,9.33,13.99,12.65
SBI Magnum Equity ESG Fund - Direct Plan,4.96,6.80,NA,NA,NA
SBI Magnum Global Fund,4.03,5.17,12.29,15.19,16.94
SBI Magnum Global Fund - Direct Plan,4.88,6.10,NA,NA,NA
SBI Magnum Midcap Fund,-3.65,2.43,11.44,12.56,NA
SBI Magnum Midcap Fund - Direct Plan,-2.69,3.51,NA,NA,NA
SBI Magnum Multicap Fund,1.28,6.11,9.53,NA,NA
SBI Magnum Multicap Fund - Direct Plan,2.33,7.21,NA,NA,NA
SBI Nifty Index Fund,4.14,5.47,7.46,10.69,NA
SBI Nifty Index Fund - Direct Plan,4.57,5.96,NA,NA,NA
SBI PSU Fund,-9.90,-2.54,-1.52,NA,NA
SBI PSU Fund - Direct Plan,-9.20,-1.91,NA,NA,NA
SBI Small Cap Fund,3.55,9.49,16.47,NA,NA
SBI Small Cap Fund - Direct Plan,4.80,10.84,NA,NA,NA
SBI Tax Advantage Fund - Series II,5.77,11.07,NA,NA,NA
SBI Tax Advantage Fund - Series III - Direct Plan,10.65,11.24,NA,NA,NA
SBI Tax Advantage Fund - Series III - Regular Plan,9.93,10.76,NA,NA,NA
SBI Technology Opportunities Fund,17.09,9.25,13.05,13.25,8.77
SBI Technology Opportunities Fund - Direct Plan,18.29,10.26,NA,NA,NA
Shriram Long Term Equity Fund - Direct Plan,NA,NA,NA,NA,NA
Shriram Long Term Equity Fund - Regular Plan,NA,NA,NA,NA,NA
Shriram Multicap Fund - Direct Plan,NA,NA,NA,NA,NA
Shriram Multicap Fund - Regular Plan,NA,NA,NA,NA,NA
Sundaram Diversified Equity Fund,-3.30,3.02,7.49,12.32,15.41
Sundaram Diversified Equity Fund - Direct Plan,-2.83,3.47,NA,NA,NA
Sundaram Emerging Small Cap Series 1 - Direct Plan,NA,NA,NA,NA,NA
Sundaram Emerging Small Cap Series 1 - Regular Plan,NA,NA,NA,NA,NA
Sundaram Emerging Small Cap Series II - Direct Plan,NA,NA,NA,NA,NA
Sundaram Emerging Small Cap Series III - Direct Plan,NA,NA,NA,NA,NA
Sundaram Emerging Small Cap Series III - Regular Plan,NA,NA,NA,NA,NA
Sundaram Emerging Small Cap Series II - Regular Plan,NA,NA,NA,NA,NA
Sundaram Emerging Small Cap Series IV - Direct Plan,NA,NA,NA,NA,NA
Sundaram Emerging Small Cap Series IV - Regular Plan,NA,NA,NA,NA,NA
Sundaram Emerging Small Cap Series V - Direct Plan,NA,NA,NA,NA,NA
Sundaram Emerging Small Cap Series VI - Direct Plan,NA,NA,NA,NA,NA
Sundaram Emerging Small Cap Series VII - Direct Plan,NA,NA,NA,NA,NA
Sundaram Emerging Small Cap Series VII - Regular Plan,NA,NA,NA,NA,NA
Sundaram Emerging Small Cap Series VI - Regular Plan,NA,NA,NA,NA,NA
Sundaram Emerging Small Cap Series V - Regular Plan,NA,NA,NA,NA,NA
Sundaram Equity Fund - Direct Plan,NA,NA,NA,NA,NA
Sundaram Equity Fund - Regular Plan,NA,NA,NA,NA,NA
Sundaram Financial Services Opportunities Fund - Direct Plan,0.37,5.89,NA,NA,NA
Sundaram Financial Services Opportunities Fund - Institutional Plan,0.37,5.86,NA,NA,NA
Sundaram Financial Services Opportunities Fund - Regular Plan,-0.52,5.08,7.51,NA,NA
Sundaram Global Brand Fund,7.33,6.94,6.38,NA,NA
Sundaram Global Brand Fund - Direct Plan,7.94,7.61,NA,NA,NA
Sundaram Infrastructure Advantage Fund - Direct Plan,-4.85,0.85,NA,NA,NA
Sundaram Infrastructure Advantage Fund - Regular Plan,-5.52,0.32,0.55,NA,NA
Sundaram Large and Mid Cap Fund,2.14,6.21,8.64,NA,NA
Sundaram Large and Mid Cap Fund - Direct Plan,3.35,7.13,NA,NA,NA
Sundaram Long Term Micro Cap Tax Advantage Fund Series III - Direct Plan,-14.46,NA,NA,NA,NA
Sundaram Long Term Micro Cap Tax Advantage Fund Series III - Regular Plan,-14.74,NA,NA,NA,NA
Sundaram Long Term Micro Cap Tax Advantage Fund Series IV - Direct Plan,-14.06,NA,NA,NA,NA
Sundaram Long Term Micro Cap Tax Advantage Fund Series IV - Regular Plan,-14.46,NA,NA,NA,NA
Sundaram Long Term Micro Cap Tax Advantage Fund Series V - Direct Plan,-12.71,NA,NA,NA,NA
Sundaram Long Term Micro Cap Tax Advantage Fund Series VI - Direct Plan,NA,NA,NA,NA,NA
Sundaram Long Term Micro Cap Tax Advantage Fund Series VI - Regular Plan,NA,NA,NA,NA,NA
Sundaram Long Term Micro Cap Tax Advantage Fund Series V - Regular Plan,-13.18,NA,NA,NA,NA
Sundaram Long Term Tax Advantage Fund Series I - Direct Plan,0.79,3.79,NA,NA,NA
Sundaram Long Term Tax Advantage Fund Series II - Direct Plan,2.09,NA,NA,NA,NA
Sundaram Long Term Tax Advantage Fund Series III - Direct Plan,NA,NA,NA,NA,NA
Sundaram Long Term Tax Advantage Fund Series III - Regular Plan,NA,NA,NA,NA,NA
Sundaram Long Term Tax Advantage Fund Series II - Regular Plan,1.55,NA,NA,NA,NA
Sundaram Long Term Tax Advantage Fund Series I - Regular Plan,0.44,3.43,NA,NA,NA
Sundaram Long Term Tax Advantage Fund Series IV - Direct Plan,NA,NA,NA,NA,NA
Sundaram Long Term Tax Advantage Fund Series IV - Regular Plan,NA,NA,NA,NA,NA
Sundaram Mid Cap Fund - Direct Plan,-5.31,2.91,NA,NA,NA
Sundaram Mid Cap Fund - Institutional Plan,-5.31,2.91,11.15,NA,NA
Sundaram Mid Cap Fund - Regular Plan,-6.05,2.27,10.45,15.52,NA
Sundaram Multi Cap Fund - Series I - Direct Plan,NA,NA,NA,NA,NA
Sundaram Multi Cap Fund - Series II - Direct Plan,NA,NA,NA,NA,NA
Sundaram Multi Cap Fund - Series II - Regular Plan,NA,NA,NA,NA,NA
Sundaram Multi Cap Fund - Series I - Regular Plan,NA,NA,NA,NA,NA
Sundaram Rural and Consumption Fund - Direct Plan,-0.36,8.64,NA,NA,NA
Sundaram Rural and Consumption Fund - Regular Plan,-1.14,7.85,10.30,NA,NA
Sundaram Select Focus Fund - Direct Plan,5.93,7.08,NA,NA,NA
Sundaram Select Focus Fund - Institutional Plan,5.93,7.08,8.06,NA,NA
Sundaram Select Focus Fund - Regular Plan,4.72,6.21,7.31,12.33,NA
Sundaram Select Micro Cap Fund - Series IX - Direct Plan,-10.18,NA,NA,NA,NA
Sundaram Select Micro Cap Fund - Series IX - Regular Plan,-10.96,NA,NA,NA,NA
Sundaram Select Micro Cap Fund - Series VIII - Direct Plan,-10.09,NA,NA,NA,NA
Sundaram Select Micro Cap Fund - Series VIII - Regular Plan,-10.87,NA,NA,NA,NA
Sundaram Select Micro Cap Fund - Series X - Direct Plan,-10.97,NA,NA,NA,NA
Sundaram Select Micro Cap Fund - Series X - Regular Plan,-11.68,NA,NA,NA,NA
Sundaram Select Micro Cap Series XI - Direct Plan,-12.43,NA,NA,NA,NA
Sundaram Select Micro Cap Series XII - Direct Plan,-12.64,NA,NA,NA,NA
Sundaram Select Micro Cap Series XII - Regular Plan,-13.23,NA,NA,NA,NA
Sundaram Select Micro Cap Series XI - Regular Plan,-12.98,NA,NA,NA,NA
Sundaram Select Micro Cap Series XIV - Direct Plan,-12.35,NA,NA,NA,NA
Sundaram Select Micro Cap Series XIV - Regular Plan,-12.88,NA,NA,NA,NA
Sundaram Select Micro Cap Series XV - Direct Plan,-12.45,NA,NA,NA,NA
Sundaram Select Micro Cap Series XVI - Direct Plan,NA,NA,NA,NA,NA
Sundaram Select Micro Cap Series XVII - Direct Plan,NA,NA,NA,NA,NA
Sundaram Select Micro Cap Series XVII - Regular Plan,NA,NA,NA,NA,NA
Sundaram Select Micro Cap Series XVI - Regular Plan,NA,NA,NA,NA,NA
Sundaram Select Micro Cap Series XV - Regular Plan,-13.20,NA,NA,NA,NA
Sundaram Select Small Cap Series V - Direct Plan,-2.20,NA,NA,NA,NA
Sundaram Select Small Cap Series VI - Direct Plan,-2.49,NA,NA,NA,NA
Sundaram Select Small Cap Series VI - Regular Plan,-3.24,NA,NA,NA,NA
Sundaram Select Small Cap Series V - Regular Plan,-3.05,NA,NA,NA,NA
Sundaram Services Fund - Direct Plan,NA,NA,NA,NA,NA
Sundaram Services Fund - Regular Plan,NA,NA,NA,NA,NA
Sundaram Small Cap Fund - Direct Plan,-11.29,-0.94,NA,NA,NA
Sundaram Small Cap Fund - Institutional Plan,-11.29,-0.94,7.66,NA,NA
Sundaram Small Cap Fund - Regular Plan,-12.04,-1.61,7.00,11.93,NA
Sundaram Smart NIFTY 100 Equal Weight Fund - Direct Plan,-1.77,NA,NA,NA,NA
Sundaram Smart NIFTY 100 Equal Weight Fund - Regular Plan,-2.50,NA,NA,NA,NA
Sundaram Value Fund Series III - Direct Plan,2.80,NA,NA,NA,NA
Sundaram Value Fund Series III - Regular Plan,2.21,NA,NA,NA,NA
Sundaram Value Fund Series IX - Direct Plan,NA,NA,NA,NA,NA
Sundaram Value Fund Series IX - Regular Plan,NA,NA,NA,NA,NA
Sundaram Value Fund Series VII - Direct Plan,-15.38,NA,NA,NA,NA
Sundaram Value Fund Series VIII - Direct Plan,-1.94,NA,NA,NA,NA
Sundaram Value Fund Series VIII - Regular Plan,-2.84,NA,NA,NA,NA
Sundaram Value Fund Series VII - Regular Plan,-15.98,NA,NA,NA,NA
Sundaram Value Fund Series X - Direct Plan,NA,NA,NA,NA,NA
Sundaram Value Fund Series X - Regular Plan,NA,NA,NA,NA,NA
Tata Banking and Financial Services Fund - Direct Plan,2.34,NA,NA,NA,NA
Tata Banking and Financial Services Fund - Regular Plan,0.73,NA,NA,NA,NA
Tata Digital India Fund - Direct Plan,20.32,NA,NA,NA,NA
Tata Digital India Fund - Regular Plan,18.29,NA,NA,NA,NA
Tata Equity PE Fund - Direct Plan,1.97,8.54,NA,NA,NA
Tata Equity PE Fund - Regular Plan,0.67,7.39,10.80,14.88,NA
Tata Ethical Fund - Direct Plan,4.49,4.97,NA,NA,NA
Tata Ethical Fund - Regular Plan,3.30,3.92,9.78,12.98,13.94
Tata Focused Equity Fund - Direct Plan,NA,NA,NA,NA,NA
Tata Focused Equity Fund - Regular Plan,NA,NA,NA,NA,NA
Tata Index Nifty Fund - Direct Plan,4.83,6.08,NA,NA,NA
Tata Index Nifty Fund - Regular Plan,4.44,5.58,7.57,11.43,NA
Tata Index Sensex Fund - Direct Plan,6.75,6.85,NA,NA,NA
Tata Index Sensex Fund - Regular Plan,6.28,6.31,7.83,11.05,NA
Tata India Consumer Fund - Direct Plan,5.95,NA,NA,NA,NA
Tata India Consumer Fund - Regular Plan,4.30,NA,NA,NA,NA
Tata India Pharma & HealthCare Fund - Direct Plan,10.13,NA,NA,NA,NA
Tata India Pharma & HealthCare Fund - Regular Plan,8.29,NA,NA,NA,NA
Tata India Tax Savings Fund,1.62,7.17,11.17,12.01,15.26
Tata India Tax Savings Fund - Direct Plan,3.04,8.57,NA,NA,NA
Tata Infrastructure Fund - Direct Plan,-4.75,1.19,NA,NA,NA
Tata Infrastructure Fund - Regular Plan,-5.29,0.61,2.84,9.37,NA
Tata Large Cap Fund - Direct Plan,1.95,5.04,NA,NA,NA
Tata Large Cap Fund - Regular Plan,0.76,3.61,7.69,12.43,15.14
Tata Large & Mid Cap Fund - Direct Plan,4.36,6.99,NA,NA,NA
Tata Large & Mid Cap Fund - Regular Plan,2.96,5.49,9.49,12.68,16.79
Tata Midcap Growth Fund - Direct Plan,1.48,5.67,NA,NA,NA
Tata Midcap Growth Fund - Regular Plan,0.35,4.66,11.48,12.72,16.56
Tata Multicap Fund - Direct Plan,NA,NA,NA,NA,NA
Tata Multicap Fund - Regular Plan,NA,NA,NA,NA,NA
Tata Nifty Exchange Traded Fund - Regular Plan,NA,NA,NA,NA,NA
Tata Nifty Private Bank Exchange Traded Fund - Regular Plan,NA,NA,NA,NA,NA
Tata Quant Fund - Direct Plan,NA,NA,NA,NA,NA
Tata Quant Fund - Regular Plan,NA,NA,NA,NA,NA
Tata Resources & Energy Fund - Direct Plan,4.66,NA,NA,NA,NA
Tata Resources & Energy Fund - Regular Plan,2.90,NA,NA,NA,NA
Tata Retirement Savings Fund - Progressive Plan - Direct Plan,5.34,10.43,NA,NA,NA
Tata Retirement Savings Fund - Progressive Plan - Regular Plan,3.80,8.81,NA,NA,NA
Tata Small Cap Fund - Direct Plan,NA,NA,NA,NA,NA
Tata Small Cap Fund - Regular Plan,NA,NA,NA,NA,NA
Tata Value Fund Series 1 - Direct Plan,NA,NA,NA,NA,NA
Tata Value Fund Series 1 - Regular Plan,NA,NA,NA,NA,NA
Tata Value Fund Series 2 - Direct Plan,NA,NA,NA,NA,NA
Tata Value Fund Series 2 - Regular Plan,NA,NA,NA,NA,NA
Taurus Banking & Financial Services Fund - Direct Plan,1.91,5.97,NA,NA,NA
Taurus Banking & Financial Services Fund - Regular Plan,1.11,4.87,NA,NA,NA
Taurus Discovery (Midcap) Fund - Direct Plan,2.46,6.62,NA,NA,NA
Taurus Discovery (Midcap) Fund - Regular Plan,2.00,6.09,10.45,8.02,9.44
Taurus Ethical Fund - Direct Plan,7.74,6.04,NA,NA,NA
Taurus Ethical Fund - Regular Plan,6.67,5.04,8.65,NA,NA
Taurus Infrastructure Fund - Direct Plan,0.63,4.35,NA,NA,NA
Taurus Infrastructure Fund - Regular Plan,0.17,3.61,4.61,NA,NA
Taurus Largecap Equity Fund - Direct Plan,-0.84,1.82,NA,NA,NA
Taurus Largecap Equity Fund - Regular Plan,-1.30,0.97,5.21,8.60,13.69
Taurus Nifty Index Fund - Direct Plan,4.88,6.03,NA,NA,NA
Taurus Nifty Index Fund - Regular Plan,4.50,5.31,7.30,NA,NA
Taurus Starshare (Multi Cap) Fund - Direct Plan,-3.51,0.74,NA,NA,NA
Taurus Starshare (Multi Cap) Fund - Regular Plan,-3.65,0.18,6.06,10.45,12.49
Taurus Tax Shield Fund - Direct Plan,3.77,6.74,NA,NA,NA
Taurus Tax Shield Fund - Regular Plan,3.05,5.80,8.19,9.89,13.26
Templeton India Equity Income Fund,-0.80,4.41,8.63,NA,NA
Templeton India Equity Income Fund - Direct Plan,-0.03,5.18,NA,NA,NA
Templeton India Value Fund,-6.59,1.15,5.93,11.55,15.02
Templeton India Value Fund - Direct Plan,-5.80,1.95,NA,NA,NA
Union Focused Fund - Direct Plan,NA,NA,NA,NA,NA
Union Focused Fund - Regular Plan,NA,NA,NA,NA,NA
Union Largecap Fund - Direct Plan,1.79,NA,NA,NA,NA
Union Largecap Fund - Regular Plan,1.13,NA,NA,NA,NA
Union Large & Midcap Fund - Direct Plan,NA,NA,NA,NA,NA
Union Large & Midcap Fund - Regular Plan,NA,NA,NA,NA,NA
Union Long Term Equity Fund,2.70,3.00,NA,NA,NA
Union Long Term Equity Fund - Direct Plan,3.19,3.72,NA,NA,NA
Union Midcap Fund - Direct Plan,NA,NA,NA,NA,NA
Union Midcap Fund - Regular Plan,NA,NA,NA,NA,NA
Union Multi Cap Fund,3.35,3.88,NA,NA,NA
Union Multi Cap Fund - Direct Plan,3.99,4.64,NA,NA,NA
Union Small Cap Fund - Direct Plan,-3.63,1.55,NA,NA,NA
Union Small Cap Fund - Regular Plan,-4.29,0.70,NA,NA,NA
Union Value Discovery Fund - Direct Plan,NA,NA,NA,NA,NA
Union Value Discovery Fund - Regular Plan,NA,NA,NA,NA,NA
UTI Banking and Financial Services Fund - Direct Plan,-7.09,2.38,NA,NA,NA
UTI Banking and Financial Services Fund - Regular Plan,-8.05,1.32,6.39,11.50,NA
UTI Children's Career Fund-Investment Plan - Direct Plan,2.65,6.27,NA,NA,NA
UTI Children's Career Fund-Investment Plan - Regular Plan,1.73,5.42,8.39,8.75,NA
UTI Core Equity Fund - Direct Plan,-2.14,2.18,NA,NA,NA
UTI Core Equity Fund - Regular Plan,-2.65,1.64,7.32,9.81,12.19
UTI Dividend Yield Fund - Direct Plan,4.11,6.20,NA,NA,NA
UTI Dividend Yield Fund - Regular Plan,3.48,5.55,7.87,12.84,NA
UTI Equity Fund - Direct Plan,6.59,7.11,NA,NA,NA
UTI Equity Fund - Regular Plan,6.04,6.58,10.96,13.46,14.93
UTI Focussed Equity Fund - Series I (2195 Days) - Direct Plan,1.34,5.21,NA,NA,NA
