,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Fund Name,Rating,Analyst's Choice?,Category,1 Year Returns (%),1 Year Returns (growth of 1 lakh),1 Year SIP Returns (%),1 Year SIP Returns (growth of 10k/mth),3 Year Returns (%),3 Year Returns (growth of 1 lakh),3 Year SIP Returns (%),3 Year SIP Returns (growth of 10k/mth),5 Year Returns (%),5 Year Returns (growth of 1 lakh),5 Year SIP Returns (%),5 Year SIP Returns (growth of 10k/mth),10 Year Returns (%),10 Year Returns (growth of 1 lakh),10 Year SIP Returns (%),10 Year SIP Returns (growth of 10k/mth),Expense Ratio (%)
Principal Focused Multicap Fund,4,Coming Soon,Equity: Multi Cap,2.51,"1,02,506",8.17,"1,24,836",3.90,"1,12,175",3.74,"3,80,593",6.48,"1,36,878",6.61,"7,07,266",8.97,"2,36,059",9.67,"19,72,886",2.62
Quant Active Fund,4,Coming Soon,Equity: Multi Cap,3.72,"1,03,723",24.02,"1,33,890",6.87,"1,22,071",6.44,"3,95,913",8.49,"1,50,292",8.54,"7,41,686",9.51,"2,48,080",12.44,"22,83,459",2.48
SBI Focused Equity Fund - Direct Plan,5,Coming Soon,Equity: Multi Cap,-1.56,"98,437",1.90,"1,21,134",7.08,"1,22,767",3.94,"3,81,728",9.86,"1,60,012",8.49,"7,40,752",--,--,--,--,0.83
SBI Focused Equity Fund,5,Coming Soon,Equity: Multi Cap,-2.60,"97,402",0.83,"1,20,494",6.00,"1,19,107",2.88,"3,75,790",8.82,"1,52,576",7.39,"7,21,033",13.92,"3,68,081",12.71,"23,16,561",1.88
SBI Magnum Multicap Fund - Direct Plan,4,Coming Soon,Equity: Multi Cap,-9.12,"90,885",-4.31,"1,17,394",1.54,"1,04,679",-1.91,"3,49,786",6.80,"1,38,918",3.99,"6,62,680",--,--,--,--,0.97
SBI Magnum Multicap Fund,4,Coming Soon,Equity: Multi Cap,-10.01,"89,995",-5.23,"1,16,836",0.49,"1,01,491",-2.87,"3,44,695",5.70,"1,31,926",2.87,"6,44,564",9.37,"2,44,938",10.24,"20,32,559",2.10
Sundaram Large and Mid Cap Fund - Direct Plan,4,Coming Soon,Equity: Large & MidCap,-5.86,"94,137",-2.55,"1,18,463",2.89,"1,08,923",-0.87,"3,55,321",6.88,"1,39,460",5.24,"6,83,642",--,--,--,--,0.78
Sundaram Large and Mid Cap Fund,4,Coming Soon,Equity: Large & MidCap,-6.98,"93,016",-3.78,"1,17,719",1.69,"1,05,167",-2.01,"3,49,271",5.96,"1,33,591",4.11,"6,64,763",8.53,"2,26,733",9.37,"19,41,699",2.22
Tata Equity PE Fund - Direct Plan,4,Coming Soon,Equity: Value Oriented,-3.34,"96,663",6.70,"1,23,976",1.03,"1,03,109",-0.79,"3,55,727",7.98,"1,46,773",5.51,"6,88,219",--,--,--,--,0.78
Tata Equity PE Fund - Regular Plan,4,Coming Soon,Equity: Value Oriented,-4.75,"95,250",5.26,"1,23,129",-0.27,"99,203",-2.16,"3,48,443",6.84,"1,39,215",4.17,"6,65,733",10.55,"2,72,678",11.10,"21,27,604",1.96
Tata Retirement Savings Fund - Progressive Plan - Direct Plan,4,Coming Soon,Equity: Multi Cap,1.62,"1,01,617",6.10,"1,23,623",4.97,"1,15,675",2.86,"3,75,695",9.94,"1,60,594",8.30,"7,37,228",--,--,--,--,0.89
Tata Retirement Savings Fund - Progressive Plan - Regular Plan,4,Coming Soon,Equity: Multi Cap,-0.02,"99,975",4.47,"1,22,661",3.44,"1,10,673",1.26,"3,66,842",8.32,"1,49,130",6.63,"7,07,577",--,--,--,--,2.50
UTI Equity Fund - Direct Plan,4,Coming Soon,Equity: Multi Cap,3.76,"1,03,759",9.51,"1,25,615",6.27,"1,20,008",4.61,"3,85,507",6.87,"1,39,432",7.45,"7,22,030",--,--,--,--,1.40
UTI Equity Fund - Regular Plan,4,Coming Soon,Equity: Multi Cap,3.14,"1,03,143",8.88,"1,25,252",5.71,"1,18,141",4.06,"3,82,391",6.35,"1,36,019",6.89,"7,12,139",10.92,"2,81,897",10.63,"20,74,623",1.74
UTI Value Opportunities Fund - Direct Plan,4,Coming Soon,Equity: Value Oriented,-1.49,"98,506",7.04,"1,24,175",3.67,"1,11,433",1.69,"3,69,226",4.53,"1,24,801",4.91,"6,78,012",--,--,--,--,1.45
UTI Value Opportunities Fund - Regular Plan,4,Coming Soon,Equity: Value Oriented,-2.11,"97,893",6.39,"1,23,792",2.94,"1,09,088",1.02,"3,65,528",3.79,"1,20,424",4.16,"6,65,583",9.11,"2,39,172",7.70,"17,79,224",1.84
